job location,salary,Employment Status,Educational requirments,job title,company name
"Dhaka Division, Dhaka (Mohakhali)","
                                                            ",Full-time,Master of Business Management (MBM),Manager Marketing (ISP Segment),ICOM Bangladesh Limited
Jhenaida (Benapole Port),"
                                                            Negotiable
                                                            ",Full-time,Bachelor in Engineering (BEngg),Support Engineer,DataSoft Systems Bangladesh Limited
Anywhere in Bangladesh,"
                                                            ",Full-time,Bachelor degree in any discipline,Software Engineer (PHP),www.bibahabd.com
Anywhere in Bangladesh,"
                                                            Tk. 30000 - 60000 (Monthly)
                                                            ",Full-time,"Bachelor in Engineering (BEngg),Bachelor/ Master Degree from recognized Institute.,Skills Required: MySQL,PHP,WordPress,Laravel Framework,jQuery,AngularJS,CakePHP",Software Engineer,SOFT-BD
Anywhere in Bangladesh,,Full-time,"Graduate or Post Graduate degree from any recognized public/private universities in Bangladesh or, from recognized foreign institutions;",Strategic Assistant Program,Banglalink
Dhaka,"
                                                            ",Full-time,Candidate should have a Bachelor's degree in Computer Science/Engineering/Applied Physics from a reputed university.,System Developer,SoftwarePeople
Dhaka,"
                                                            ",Full-time,A relevant bachelor's or master's degree from a reputed university,QA Engineer,SoftwarePeople
Dhaka,"
                                                            ",Full-time,"A bachelor's degree in Computer Science/Engineering/Applied Physics, Electronics & Communication Engineering from a reputed institution",Operations Engineer,SoftwarePeople
Dhaka,"
                                                            ",Full-time,Candidate should have a Masters or Bachelor's degree in Computer Science/ Engineering/ Applied Physics from a reputed university.,Senior System Developer,SoftwarePeople
Dhaka,,Full-time,A relevant bachelor's or master's degree from a reputed university,Senior Product Support Specialist,SoftwarePeople
Rajshahi,"
                                                            Tk. 15000 - 30000 (Monthly)
                                                            ",Full-time,"B.Sc/ M.Sc in Computer Science & Engineering (CSE) from any reputed university.,Education background is considerable for experienced and qualified person.",Software Engineer (PHP),Xerone IT
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,"Minimum Bachelor's degree from reputed university with Finance/Accounting major. Double Major/Minor in HRMS or MBA preferred. ,Professional certification in Accounting is a plus point.,Oracle corporation offered training or certification in Oracle Financials modules preferred.",Manager - ERP Implementation & Support,DBL GROUP
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc), Bachelor degree in any discipline,B. Sc. in Computer Science from any reputed university or equivalent/ Diploma in Computer Science/ Expertise in any discipline. IDB and BASIS trained Excepted.",PHP Programmer,Bangladesh Software Development (BSD)
,"
                                                            Negotiable
                                                            ",Full-time,এসএসসি/ ডিপ্লোমা/ এইচএসসি,,
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ","Full-time, Part-time","Bachelor in Engineering (BEngg),Skills Required: AWS",AWS System Administrator,boo2 Bangla
Dhaka,"
                                                            Tk. 9000 - 15000 (Monthly)
                                                            ",Full-time,"Bachelor of Business Administration (BBA), Bachelor of Science (BSc), Diploma in Engineering in CSE,Current students from any private university are not eligible for this position. Students from national university are welcome to apply.",Virtual Assistant & Lead Generation Executive,Munshi IT (Treding as VaEveryday.com)
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc),Work Study /IE ,in Oven Tops & bottoms.",IE Executive,Group of companices
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE, Bachelor of Business Administration (BBA)",Content Writer/ Bid Document Writer,Radisson Digital Technologies Ltd.
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,At least 2 year(s),Sr. Laravel Developer,Print Wizard
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,Graduate from reputed University.,Customer Service Officer (Contact Center),Amber IT Ltd.
Chattogram,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Computer Application (BCA),Assistant IT Officer,UNIVERSITY OF SCIENCE AND TECHNOLOGY CHITTAGONG
Iraq,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science  Engineering,Training/Trade Course: Having Training and Certification on Project Management SCRUM will be an added advantage.",System Analyst,SSL Wireless
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE,Preferred Professional Certification: CCNA,RHCE",Server Administrator,SOFT-BD
Anywhere in Bangladesh,"
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science,4 year Graduation in CSE/EEE/Applied Physics or related subjects",IOS Sr. Software Engineer (Day Shift),Kazi IT Center
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science, Computer Science and Engineering,Skills Required: Agile methodology",Software Engineer,DataSoft Systems Bangladesh Limited
"Dhaka Division, Dhaka (Mohakhali)","
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc),Programmer/ Software Engineer,Dhrupadi Techno Consortium Limited
Dhaka Division,"
                                                            Tk. 40000 - 50000 (Monthly)
                                                            ",Full-time,Bachelor of Science (BSc),Full Stack Web Developer (Team Leader),Star IT Solution
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,B.Sc in Computer Science & Engineering or Diploma or equivalent.,PHP Programmer,B2M Technologies Ltd.
Dhaka (Mirpur),"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc) in Copmuter Science Engineering,Android Application Developer,Datasys Limited
Dhaka (Uttara),"
                                                            Tk. 20000 (Monthly)
                                                            ",Full-time,"We do not care about your academic records, GPA or anything. ,We just need your Programming Skill.,Skills Required: MySQL,JavaScript,PHP,Laravel Framework,HTML5 & CSS3",PHP Laravel Developer,THESOFTKING.COM
Dhaka,"
                                                            Tk. 10000 - 15000 (Monthly)
                                                            ",Full-time,Bachelor in Computer Science.,IT Executive,ServicEngine Ltd.
,"
                                                            Tk. 10000 (Monthly)
                                                            ",Full-time,স্নাতক/ সমমান/ ডিপ্লোমা ইন আইটি।,,
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Computer Science, Bachelor of Science (BSc) in Computer Applications, Bachelor of Science (BSc) in Science , mathmatics, Physics, Diploma in Engineering,Fresher candidate with successful project work in android and PHP are encourage to apply",Junior Programmer,Arena Phone BD Ltd.
"Chattogram Division, Dhaka Division","
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE, HSC",Programmer (.NET & PHP),Deshi Systems Ltd.
Anywhere in Bangladesh,,Full-time,Bachelor of Science (BSc),Jr. Business Analyst,Orange Business Development Ltd. (Orangebd)
Dhaka (Gulshan),"
                                                            ",Full-time,"Bachelor degree in any discipline,Bachelor degree preferably in English Department",Creative Content Writer,Rapid Web Services
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,At least Undergraduate degree in Computer Science or related discipline,Software Developer,Asgar Ali Hospital (A Concern of City Group)
Dhaka,"
                                                            ",Full-time,Minimum B.Sc. in Computer Science & Engineering department from any reputed University.,Programmer,Infocrat Solutions Ltd.
Dhaka (Mirpur),"
                                                            Negotiable
                                                            ",Full-time,"B.Sc in Computer Science from any reputed university (CSE background must)",Software Developer,Business Automation Ltd.
Dhaka (Mohammadpur),"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science & Engineering, Diploma in Engineering in Computer Science & Engineering,Specialty in Software and hardware.,Knowledge in oracle will be preferred.",Jr. Executive Officer (IT),AnH Enterprise Limited
Dhaka,"
                                                            Tk. 10000 - 20000 (Monthly)
                                                            ",Full-time,"B. Sc. in CSE but we believe in quality rather than certificates.,Educational qualification will be considered for experience applicant.",PHP Developer - Laravel,Software Galaxy Limited
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,B.Sc in Computer Science or related subject.,SQA Engineer,Kite Games Studio Ltd.
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc) In CSE,Software Engineer,Enosis Solutions
Japan,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc) in CSE,Senior Software Engineer (C++) - Japan,BJIT Ltd.
Dhaka,"
                                                            ",Full-time,"Bachelor degree in any discipline,Minimum B.Sc in CSE/ CS from any reputed University or proven Expertise on PHP development,Skills Required: CodeIgniter,Laravel Framework,jQuery,Bootstrap,PHP(OOP)",PHP Developer,Technobd Web Solutions (Pvt.) Ltd.
Dhaka,"
                                                            Tk. 30 - 50 (Monthly)
                                                            ",Full-time,Bachelor of Science (BSc) in Computer Science & Engineering,Node.JS Developer,Aaroza Infotech Ltd.
Anywhere in Bangladesh,"
                                                            ",Full-time,Diploma in Engineering in IT,Executive - IT,Jennys International Ltd.
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Graduation in Computer Science from reputed university.,Web Development Manager,Pickaboo.com
Dhaka Division,"
                                                            ",Full-time,"Bachelor of Computer Application (BCA) in Management Science or Computer Science or CSE, Masters in Computer Application (MCA) in MIS,A degree in Computer Science or MIS will be required. Having strong quantitative skills is a good base, but an interest in data and being able to solve problems logically and methodically will be a strong factor.,You are expected to know some programming languages such as R or Python and have strong database design and coding skills.",Data Scientist,CloudWell Limited
Chattogram,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (B.Sc) in CSE,Diploma in Information Technology,Applicant must have good knowledge about ASP.NET & SQL.","Sr. Executive/ Executive, IT",Best Western Alliance Hotel
Dhaka,"
                                                            Tk. 25 - 35 (Monthly)
                                                            ",Full-time,Bachelor of Science (BSc) in Computer Science  Engineering,Front-End Developer (Vue.js),Aaroza Infotech Ltd.
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science & Engineering,Preference will be given to the students of BUET, CUET, KUET, DUET and University of Dhaka.",IOS Developer,Systems Solutions & Development Technologies Ltd.
Japan,"
                                                            Negotiable
                                                            ",Full-time,"M.Sc/B.Sc in Computer Science/Engineering from any reputed university.,Red Hat, CCNA certified.",System Architect (Japan),BJIT Ltd.
Anywhere in Bangladesh,,Full-time,B.Sc (CSE),SQA Manager,Kona Software Lab Limited
Japan,"
                                                            Negotiable
                                                            ",Full-time,Must have B.Sc./MSc. in CSE/CS/IT/EEE/Mathematics/ Science,Web Engineer (Japan),BJIT Ltd.
Dhaka,"
                                                            ","Full-time, Internship",Graduation in Computer Science from any reputed university,"Intern, Information Technology (IT)",M & J Group
Japan,"
                                                            Negotiable
                                                            ",Full-time,Masters or Bachelor in Computer Science/Engineering,Blockchain Engineer (Japan),BJIT Ltd.
Dhaka (Mirpur),"
                                                            ",Full-time,Bachelor in Engineering (BEngg),PHP (Laravel) Developer,Future Track IT
Dhaka (Uttara),"
                                                            Negotiable
                                                            ","Full-time, Part-time","Graduate in Computer Science, Software Engineering or a related subject.,Educational Qualification may be relaxed for experienced and highly skilled candidates.",Analyst Programmer,Southtech Limited
Dhaka,"
                                                            ","Full-time, Part-time, Contractual",Bachelor of Computer Application (BCA) in CSE,Website Designer,DataHost Technology
Dhaka (Gulshan),"
                                                            ",Full-time,"B.Sc/ M.Sc in Computer Science/ Engineering is an advantage but not required!,Good English skills,Skills Required: Java,Angular.js,AngularJS",Lead Software Engineer - JAVA Spring/ Angular.js,WellDev Bangladesh LTD
Japan,"
                                                            Tk. 150000 - 200000 (Monthly)
                                                            ",Full-time,Bachelor of Science (BSc) in CSE,Web Design and Developer,DHAKA NICHIGO GAKUIN
,"
                                                            Negotiable
                                                            ",Full-time,,,
Japan,"
                                                            Negotiable
                                                            ",Full-time,Masters or Bachelor in Computer Science/Engineering,AI Engineer (Japan),BJIT Ltd.
Japan,"
                                                            Negotiable
                                                            ",Full-time,Graduation from Computer Science and Engineering.,Angular & Node JS Architect (Japan),BJIT Ltd.
Dhaka,"
                                                            Negotiable
                                                            ","Full-time, Contractual",Graduate from any reputed university from any IT Background or in any discipline.,Web Research & Support (Virtual Assistance) Trainer,Coderstrust Bangladesh Ltd.
Japan,"
                                                            Negotiable
                                                            ",Full-time,Graduation from Computer Science/ Engineering,React Native Senior Engineer (Japan),BJIT Ltd.
Japan,"
                                                            Negotiable
                                                            ",Full-time,Graduation from Computer Science/ Engineering,Senior ReactJS Engineer (Japan),BJIT Ltd.
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Bachelor degree in any discipline,Analyst,Shohoz.com
"Dhaka, Dhaka Division","
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Computer Application (BCA) in Software and hardware,Writing skills both in Bangla and English are mandatory.,Must have excellent analytical abilities and willing to learn new technologies,Creative thinking and experience in working multiple projects at the same time.,Ability to meet deadlines and achieve specified results.,Self motivation and ability to work with minimum supervision.",Executive - IT,Rose Cafe
Dhaka,"
                                                            Negotiable
                                                            ","Full-time, Contractual",Graduate from any reputed university from CSE or any IT Background.,Digital Marketing Trainer,Coderstrust Bangladesh Ltd.
Dhaka (Savar),"
                                                            Tk. 8000 - 14000 (Monthly)
                                                            ",Full-time,"HSC in Science, Bachelor degree in any discipline",Web Developer (PHP),W3Codex
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,B. Sc / M. Sc in CSE,Software Developer (Asp.NET),AccenTech Limited
Dhaka (Dhanmondi),"
                                                            Negotiable
                                                            ",Full-time,Masters/ Bachelor of Science in Computer Science and Engineering/ EEE from a reputed public/private university or related field Business related qualification will be an added advantage.,IT Support Officer,EW VM Health Bangladesh Ltd
Anywhere in Bangladesh,,Full-time,"Master of Commerce (MCom) in Marketing, Bachelor of Computer Application (BCA), Bachelor of Science (BSc) in CSE, Master of Business Administration (MBA), Executive Master of Business Administration (EMBA),Independent University, Bangladesh,East West University,United International University,The University of Asia Pacific,American International University Bangladesh students will get preference",Business Development Manager,Meroza Limited
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,CSE Graduates preferable but Graduation from other background with experience can apply as well.,Oracle Apex Programmer,Tamishna Group
Dhaka (Uttara),"
                                                            Negotiable
                                                            ",Full-time,CSE Graduates preferable but Graduation from other background with experience can apply as well.,Wordpress Developer,Korea MTS Ltd.
Anywhere in Bangladesh,,Full-time,"Bachelor of Computer Application (BCA) in CSE, Bachelor of Science (BSc) in CSE, Masters in Computer Application (MCA), Master of Information & Communication Technology (MICT), Master of Science (MSc) in CSE,Ahsanullah University of Science and Technology,American International University Bangladesh,East West University,United International University,The University of Asia Pacific students will get preference",Software Implementation Engineer,Meroza Limited
Dhaka (Gulshan),"
                                                            ",Full-time,Bachelor degree in any discipline,3D Animator (Advertising & Product Rendering),Magic Lamp Studio
Anywhere in Bangladesh,"
                                                            ",Full-time,Bachelor degree in any discipline,Sales & Marketing Executive,Brainlabsoft
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Diploma/ B.Sc in CSE from a reputable College/ University,"Executive, IT",Tanin Group
Anywhere in Bangladesh,"
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science ,4 year Graduation in CSE/EEE/Applied Physics or related subjects",Sr. Software Engineer,Kazi IT Center
"Dhaka, Dhaka Division","
                                                            ",Full-time,"Bachelor in Engineering (BEngg),Skills Required: IOS,Swift",IOS Developer,Star IT Solution
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,"Minimum B.Sc in CSE or 04 Years Diploma in CSE from any reputed Public or Private institution/ University.,Certificate course on CCNA, Microtik will get preference.",Assistant IT Officer,Apex Husain Group
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,Bachelor degree in any discipline,Software Marketing Executive,2A IT
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,B.Sc in Computer Science/Engineering and an MBA from any reputed university.,General Manager - IT Marketing,HR Bangladesh Limited
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE,EEE, Master of Business Administration (MBA),Preferred Professional Certification: IT Certifications",General Manager,One ICT Ltd.
Dhaka (Uttara),"
                                                            Negotiable
                                                            ",Full-time,HSC/ Graduate/ Masters.,Executive Website & Graphic Design (Basic),Dream World Tourism Ltd.
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"Diploma in Engineering,BSC in IT is preferred with competency in Adobe, Web development and digital marketing",System Administrator,ACE AUTOS (Pvt.) Ltd.
Anywhere in Bangladesh,"
                                                            Tk. 8000 - 15000 (Monthly)
                                                            ",Part-time,"Bachelor degree in any discipline,Skills Required: Technical Sales/ IT Marketing",Content Writer,BlueFlower Media
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,B.Sc in Computer Science & Engineering/Applied Physics or in any relevant IT background from a reputed university.,"Manager, Information Technology",Kallol Group of Companies
Dhaka,"
                                                            ",Full-time,"Bachelor degree in any discipline,Bachelor in any topic from a recognized University.",Graphics Designer,HTi Computer Education
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science & Engineering,Preferred Professional Certification: Will get preference,Training/Trade Course: Will get preference,Skills Required: MySQL,JavaScript,PHP,jQuery,CakePHP,Laravel,HTML",PHP Programmer,Nogor Solutions Ltd.
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Does not matter as long as you are highly skilled on various techniques,Motion Graphics Designer,Zeto Digital
Dhaka (Mirpur),"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc),Bachelor of Science (BSc),B.Sc in CSE/ CS/ CCE/ IT or equivalent from reputed local or international university/ Institutes.,Educational qualification will be considered for experience applicant.,Bachelor's Degree in Computer Science/Computer Science and Engineering, and,Skills Required: Web Developer/ Web Designer",Front End Developer,Sam Solution
Anywhere in Bangladesh,"
                                                            Tk. 60000 - 80000 (Monthly)
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE,Skills Required: Laravel Framework,PHP(OOP),AngularJS",Senior PHP Laravel Developer (Full Stack),Mediusware
Dhaka (Mirpur),"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc),B.Sc in CSE/ CS/ CCE/ IT or equivalent from reputed local or international university/ Institutes.,Educational qualification will be considered for experience applicant.,Skills Required: Mobile apps developer",Android Application Developer,Sam Solution
Dhaka (Mirpur),"
                                                            ",Full-time,"Bachelor of Science (BSc),Skills Required: JavaScript,WordPress,Adobe Flex,HTML5 & CSS3,jQuery,Bootstrap",Front End Developer,BlueFlower Media
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,Minimum Bachelor degree in (Math / Statistics/ Computer Science)/ Educational requirements may be relaxed for experienced candidate.,Data Scientist,Multinational Software Company
Dhaka (Mirpur),"
                                                            Tk. 40000 - 50000 (Monthly)
                                                            ",Full-time,"Bachelor of Science (BSc),B.Sc in CSE/ CS/ CCE/ IT or equivalent from reputed local or international university/ Institutes.,Educational qualification will be considered for experience applicant.",Senior Programmer/ Developer(Full Stack),Sam Solution
Dhaka (Uttara),"
                                                            ",Full-time,Completed Bachelors from Any Reputed University in Dhaka.  We  will prefer any candidate with B.A. in English (from universities in Dhaka) over others.,Back Office Representative (Night Shift),ASL BPO
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Skills Required: MySQL,PHP",Senior PHP Developer,Eskimi Limited
Dhaka,"
                                                            Tk. 12000 (Monthly)
                                                            ",Full-time,,IT Executive,Advanced IT
Dhaka Division,"
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science  Engineering,CCNA and MCSA certified or course competed candidate will get privilege.. A good understanding of general IT products, peripherals and technologies including the Internet, servers and network technologies (TCP/IP, LAN, WAN, VPN , etc.),The person who has experience in ISP/ IT Company/ Large Corporate House are encouraged to apply,Computer Hardware, Networks& Software management, PC assemble and troubleshoot.",Assistant System Engineer,Guardian Life Insurance Limited
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Bachelor Degree on  Computer Science / Information Technology,Junior Web Application Developer,NeuroGen Technologies Ltd. (Genetic Testing Lab)
Dhaka,"
                                                            ",Full-time,Bachelor of Science (BSc) in CSE,Sr. Software Engineer (Python/ Django),CloudlyIO
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc) in CSC Engineering,Android Developer,HR Bangladesh Limited
Rangpur Division,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc) in Computer Science,Android Application Developer,Mohona Construction & Housing Consultancy Limited
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science & Engineering,Skills Required: AWS",AWS Server Administrator,Technobd Web Solutions (Pvt.) Ltd.
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Business Administration (BBA) in Finance & Banking, Master of Business Administration (MBA) in Finance & Banking","Executive, Revenue Assurance & Fraudulent Management",PIICKME
Anywhere in Bangladesh,,Full-time,B.Sc (CSE),Business Analyst - Project Management,Kona Software Lab Limited
Dhaka (Paltan),"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Computer Application (BCA), Bachelor of Science (BSc) in CSc, CSE or related field,Candidate with similar Experience will also be encouraged for this position.",Technical Document Writer,belivIT
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor degree in any discipline, Bachelor of Science (BSc) in CSE, EEE, Science etc.,Skills Required: Active Reports,3Com/ HP/ SMC",Pre-Sales Engineer,HAJ Corporation
"Dhaka, Dhaka Division","
                                                            Tk. 70000 (Monthly)
                                                            ",Full-time,"B.Sc/ BA in Computer Science, Engineering or a related field; MBA or other relevant graduate degree is a plus","Team Lead, Software Development",Singularity Limited
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"3+ years of experience with Android,knowledge of popular libraries like Rx(1-2), Conductor, DbFlow, Dagger, SupportLibs,GIT,experience in developing applications using MVP, MVVM design patterns,understanding of SOLID ,ability to write tests using various libraries e.g. jUnit, Robolectric, Mockito and etc.,experience in writing Gradle scripts,experience in working teams which are bigger than 2 persons,have fast problem solving skills and ability to keep up the pace,responsible attitude towards work and projects,perfect English.,Skills Required: Android,Agile methodology",Senior Level Android Developer,Eskimi Limited
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"1.5+ years of experience with Symfony 3+,at least 1 year of experience in PHPUnit/functional testing,3+ years of experience with PHP,1 year of experience using PHP 7.1+,1.5 years of experience working with MySQGL 5.7,GIT,experience with OOP,experience developing API,experience in working teams which are bigger than 2 persons,have fast problem solving skills and ability to keep up the pace,responsible attitude towards work and projects,perfect English.,Skills Required: PHP,PHP(OOP)",Senior Back-End Developer,Eskimi Limited
Anywhere in Bangladesh,,Full-time,BSc. (CSE),Jr. Engineer - Research & Development,Kona Software Lab Limited
Anywhere in Bangladesh,,Full-time,B.Sc in CSE or Design,Web Developer - Research & Development,Kona Software Lab Limited
Anywhere in Bangladesh,,Full-time,BSc. (CSE),Sr. Engineer - Software Quality Assurance,Kona Software Lab Limited
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,B.Sc in Computer Science/ Engineering.,"Sr. Executive/ Executive, Network & System Solution",BRACNet Limited
Chattogram,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE,Skills Required: MySQL,JavaScript,PHP,Laravel Framework,HTML5 & CSS3,CakePHP",Software Engineer/ Web Application Developer,Cloud Height Technologies Limited
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc) in CSE,Software Developer (P0-SPO),United Finance Ltd.
Dhaka,"
                                                            ",Full-time,Minimum bachelor's degree in CSE/ IT/ relevant subject from any reputed university.,IT Associate,Adiva Graphics
"Dhaka, Dhaka Division","
                                                            Tk. 60000 (Monthly)
                                                            ",Full-time,"B.Sc/ BA in Computer Science, Engineering or a related field; MBA or other relevant Graduate degree is a plus,Skills Required: PHP,Laravel Framework,ASP.NET MVC","Engineer, DEV OPS",Bondstein Technologies Ltd.
Anywhere in Bangladesh,"
                                                            Tk. 30000 (Monthly)
                                                            ",Full-time,"Bachelor of Science (BSc) in EEE, ETE, ECE,Only public & reputed private University's student can apply.",Engineer Technology Support,A Multinational Telecommunication Infrastructure Company
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Does not matter as long as you are highly skilled on various image editing techniques in photoshop as mentioned above.,Graphics Designer/ Photo Editor,Ingen Studio Ltd.
"Dhaka, Dhaka Division","
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE, EEE,B.Sc/M.Sc in Computer Science, Engineering or a related field;",Back End Engineer 	,Bondstein Technologies Ltd.
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,Bachelor degree in any discipline,Creative Content Writer,Bee Next Limited
Khulna (Khulna Sadar),"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc),Skills Required: MySQL,PHP,WordPress,Laravel Framework,HTML5 & CSS3",Web Developer (PHP/ WordPress),And IT
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE, CS, EEE, Physics or relevant",Software Engineer,Hoxro Dev Centre
Dhaka Division,"
                                                            Tk. 40000 (Monthly)
                                                            ",Full-time,"• Minimum Education - Bachelor's Degree, A Master's will be preferred,• Minimum 5 years of hands-on SEO experience and 1-2 years management experience agency-side preferred,• Proven track record of successful SEO strategy and implementation,• Strong knowledge of search engine algorithms and ranking strategies,• Proficient with SEO reporting and analytical tools,• Proficient to expert with Word, Excel, HTML and JavaScript",Senior SEO Manager,Offshore Clipping Path
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Bachelor/ Master's degree in CSE/Information Technology or a technology-related discipline,Chief Technology Officer (CTO),Japan Marketing & Consultancy Ltd
Dhaka (Motijheel),"
                                                            Negotiable
                                                            ","Full-time, Contractual","Bachelor of Science (BSc) in CSE, Diploma in Engineering",Web Developer (Magento),Diligent IT
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,B.Sc/ M.Sc in Computer Science and Engineering or similar disciplines form public/reputed university,Project Manager,REVE Systems
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Graduation in any discipline,Diploma completed candidates are also encouraged to apply.",Software Implementation & Support Officer,Desh Universal (Pvt.) Ltd.
Dhaka (Mirpur),"
                                                            Tk. 18000 - 22000 (Monthly)
                                                            ",Full-time,"Bachelor of Science (BSc) in Computer Science & Engineering,Undergraduate students with required skills may also apply.",Front-End Developer,TOiREE IT and E-commerce Service
Dhaka,"
                                                            Negotiable
                                                            ","Full-time, Part-time","Bachelor of Science (BSc), Bachelor degree in any discipline,Skills Required: Adobe Photoshop/ Illustrator",Software Developer,Color Media BD Ltd
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,"Graduate in any discipline may apply but graduates in BFA, MFA, CSE or Multimedia & Creative Design etc. is preferred. ,Educational background may be relaxed based on experiences and expertise.",Video Editor & Graphics Designer,Color Experts International (CEI)
Dhaka Division,"
                                                            ",Full-time,"Bachelor of Science (BSc) in cse,Skills Required: JavaScript,ArcGIS,GIS",GIS Map Expert,onAir International Limited
Dhaka Division,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc) in Computer Science  Engineering,Senior Full Stack Developer,SSL Wireless
Dhaka,"
                                                            ",Full-time,"Bachelor of Science (BSc) in cse, Master of Science (MSc) in cse,BRAC University,Daffodil International University,East West University,North South University,Independent University, Bangladesh students will get preference,Skills Required: JavaScript,MongoDB,AngularJS,Agile methodology",MEAN Stack Developer,onAir International Limited
Dhaka Division,"
                                                            Tk. 10000 - 18000 (Monthly)
                                                            ",Full-time,"HSC,Skills Required: Adobe Illustrator,Adobe Photoshop",Graphic Designer/ Sr. Graphic Designer,Skill Service Ltd.
Dhaka,"
                                                            Negotiable
                                                            ",Full-time,Bachelor of Science (BSc) in Computer Science or related discipline,Full Stack Application Developer,Somru Bioscience Inc.
Anywhere in Bangladesh,"
                                                            Negotiable
                                                            ",Full-time,"Bachelor of Science (BSc) in CSE,B.Sc / M.Sc in Computer Science/ Engineering is an advantage but not required!,Skills Required: Java SE/ J2SE,MySQL,UML,Java,Object Oriented Programming",Java Software Developer,MerinaSoft
